2023-11-01 12:00:00,S001,25.5
2023-11-01 12:05:00,S002,18.7
2023-11-01 12:10:00,S003,22.3
2023-11-01 12:15:00,S001,26.1
2023-11-01 12:20:00,S002,18.9
2023-11-01 12:25:00,S003,22.8
2023-11-01 12:30:00,S001,25.8
2023-11-01 12:35:00,S002,19.2
2023-11-01 12:40:00,S003,23.5
2023-11-01 12:45:00,S001,26.4
2023-11-01 12:50:00,S002,19.6
2023-11-01 12:55:00,S003,23.9
2023-11-01 13:00:00,S001,25.3
2023-11-01 13:05:00,S002,19.0
2023-11-01 13:10:00,S003,23.2
2023-11-01 13:15:00,S001,25.9
2023-11-01 13:20:00,S002,18.5
2023-11-01 13:25:00,S003,22.7
2023-11-01 13:30:00,S001,26.2
2023-11-01 13:35:00,S002,18.8
2023-11-01 13:40:00,S003,22.4
2023-11-01 13:45:00,S001,25.2
2023-11-01 13:50:00,S002,19.3
2023-11-01 13:55:00,S003,23.1
2023-11-01 14:00:00,S001,25.2
2023-11-01 14:05:00,S002,18.6
2023-11-01 14:10:00,S003,22.1
2023-11-01 14:15:00,S001,26.0
2023-11-01 14:20:00,S002,19.1
2023-11-01 14:25:00,S003,23.6
